Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,META,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,121.72,138.3,121.53,134.73,134.09,610808000,346.82,377.55,334.5,356.3,354.63,335420300,525.72,557.54,504.66,517.57,517.57,77221200,171.73,188.65,165.35,166.38,166.38,1674586000,136.6,150.0,135.76,145.86,142.74,1919035100
2021-08-01,135.12,145.97,133.32,144.7,144.01,461586000,358.1,382.76,347.7,379.38,377.6,226132300,519.0,569.48,505.37,569.19,569.19,54747700,167.65,173.63,158.79,173.54,173.54,1256964000,146.36,153.49,144.5,151.83,148.58,1461542800
2021-09-01,145.0,146.25,133.56,133.68,133.04,590840000,379.59,384.33,338.15,339.39,337.8,338121800,569.0,619.0,568.08,610.34,610.34,82317500,174.82,177.5,163.7,164.25,164.25,1250554000,152.83,157.26,141.27,141.5,138.68,1797835100
2021-10-01,134.45,148.65,131.05,148.05,147.34,720758000,341.61,345.02,308.11,323.57,322.05,588382500,604.24,690.97,594.68,690.31,690.31,98576300,164.45,173.95,158.81,168.62,168.62,1273466000,141.9,153.17,138.27,149.8,146.82,1565079200
2021-11-01,148.05,150.97,141.6,141.9,141.22,608378000,326.04,353.83,323.2,324.46,322.94,441125000,689.06,700.99,640.01,641.9,641.9,64530200,168.09,188.11,164.18,175.35,175.35,1515990000,148.99,165.7,147.48,165.3,162.01,1691029000
2021-12-01,144.0,149.1,139.32,144.85,144.16,619694000,330.29,352.71,299.5,336.35,334.77,438246900,649.48,654.52,581.74,602.44,602.44,59975300,177.25,177.99,165.2,166.72,166.72,1287634000,167.48,182.13,157.8,177.57,174.29,2444766700
2022-01-01,145.05,146.49,124.5,135.3,134.66,767206000,338.3,343.09,289.01,313.26,311.79,427237300,605.61,609.99,351.46,427.14,427.14,241662000,167.55,171.4,135.35,149.57,149.57,1524654000,177.83,182.94,154.7,174.78,171.55,2108446000
2022-02-01,137.59,151.55,124.95,135.06,134.41,928126000,314.56,328.0,190.22,211.03,210.04,1128039600,432.96,458.48,354.72,394.52,394.52,151010700,150.0,163.83,138.33,153.56,153.56,1689604000,174.01,176.65,152.0,165.12,162.07,1627516300
2022-03-01,134.88,143.79,125.28,139.07,138.41,729162000,209.87,231.15,185.82,222.36,221.32,733274500,391.6,396.5,329.82,374.59,374.59,119491900,152.73,170.83,133.57,163.0,163.0,1628486000,164.7,179.61,150.1,174.61,171.6,2180800100
2022-04-01,139.5,143.71,112.74,114.11,113.57,761152000,224.55,236.86,169.0,200.47,199.53,672255000,376.8,396.02,185.6,190.36,190.36,403325400,164.15,168.39,121.62,124.28,124.28,1465008000,174.03,178.49,155.38,157.65,154.93,1687795600
2022-05-01,113.4,122.85,101.88,113.76,113.22,850450000,201.17,224.3,176.11,193.64,192.73,680548800,191.71,204.38,162.71,197.44,197.44,251615800,122.4,126.22,101.26,120.21,120.21,2258476000,156.71,166.48,132.61,148.84,146.27,2401040300
2022-06-01,114.86,119.35,105.05,108.96,108.44,770754000,196.51,202.03,154.25,161.25,160.49,685975600,198.7,207.38,164.28,174.87,174.87,192552700,122.26,128.99,101.43,106.21,106.21,1767601100,149.9,151.74,129.04,136.72,134.56,1749099800
2022-07-01,107.93,119.68,104.07,116.32,115.77,789529700,160.31,183.85,154.85,159.1,158.35,586482400,176.49,230.75,169.7,224.9,224.9,270083700,106.29,137.65,105.85,134.95,134.95,1337852600,136.04,163.63,135.66,162.51,159.94,1447125400
2022-08-01,115.3,122.43,107.8,108.22,107.71,515852700,157.25,183.1,155.23,162.93,162.17,551922900,223.1,251.99,218.74,223.56,223.56,152258300,134.96,146.57,126.74,126.77,126.77,1170449000,161.01,176.15,157.14,157.22,154.74,1510239600
2022-09-01,108.28,111.62,95.56,95.65,95.19,613278900,163.58,171.39,134.12,135.68,135.04,635014800,220.72,250.49,214.69,235.44,235.44,233920700,126.0,136.49,112.06,113.0,113.0,1210487600,156.64,164.26,138.0,138.2,136.21,2084722800
2022-10-01,96.76,104.82,91.8,94.51,94.06,681488300,137.14,142.39,92.6,93.16,92.72,1107662200,237.85,305.63,211.73,291.88,291.88,335263800,113.58,123.0,97.66,102.44,102.44,1459311500,138.21,157.5,134.37,153.34,151.13,1868139700
